,License,Software,Description,Name,Type,Software - #,Contact
1594,,,,,Utility,ScanDisk,Microsoft
1595,,,,,Game,Screamer,Virgin
1596,,,,,Browser,SeaMonkey,SeaMonkey Council
1597,,,,,Game,Shadow Warrior,GT Interactive
1598,,,,,Game,Sim Ant,Maxis
1599,,,,,Game,SimCity 2000,Maxis
1600,,,,,Game,SimCity 2000 CD-ROM,Maxis
1601,,,,,Game,SimCity 3000,Maxis
1602,,,,,Game,Sim Isle,Maxis
1603,,,,,Game,Sim Tower,Maxis
1604,,,,,Game,Sims,Electronic Arts
1605,,,,,Program,Skype,Microsoft
1606,,,,,Game,Solitaire,Microsoft
1607,,,,,Audio,Sound Recorder,Microsoft
1608,,,,,Game,Starcraft,Blizzard
1609,,,,,Game,Starcraft Brood War,Blizzard
1610,,,,,Program,StarOffice,Sun Microsystems
1611,,,,,Game,Star Trek Starfleet Command,Interplay
1612,,,,,Game,Star Trek Voyager Elite Force,Activision
1613,,,,,Game,SWAT 2,Sierra
1614,,,,,Game,SWAT 3,Sierra
1615,,,,,Type,Software - T,Contact
1616,,,,,Utility,Telnet,Various
1617,,,,,Program,Terminal,Microsoft
1618,,,,,Game,Test Drive 4,Accolade
1619,,,,,Game,Test Drive 5,Accolade
1620,,,,,Game,Test Drive 6,Accolade
1621,,,,,Game,The 7th Guest,Trilobyte
1622,,,,,Game,The Ancient Art of War in the Skies,Microprose
1623,,,,,Game,The Longest Journey,Funcom
1624,,,,,Game,The Sims,Electronic Arts
1625,,,,,Game,Theme Park,Bull Frog
1626,,,,,Program,Thunderbird,Mozilla
1627,,,,,Game,Tomb Raider,Eidos
1628,,,,,Game,Tomb Raider 2,Eidos
1629,,,,,Game,Torment,Interplay
1630,,,,,Game,Tribes,Sierra
1631,,,,,Game,Tribes 2,Sierra
1632,,,,,Game,Tropico,God games
1633,,,,,Type,Software - U,Contact
1634,,,,,Game,Undying,Electronic Arts
1635,,,,,Operating system,Unix,Various
1636,,,,,Game,Unreal Tournament,GT Interactive
1637,,,,,Game,Ultima Online,Origin
1638,,,,,Game,Ultimate Doom,GT Interactive
1639,,,,,Type,Software - V,Contact
1640,,,,,Game,Vampire the Masquerade,Activision
1641,,,,,Program,Vegas Pro,Magix
1642,,,,,Program,VirtualBox,Oracle
1643,,,,,Program,Visual Basic,Microsoft
1644,,,,,Type,Software - W,Contact
1645,,,,,Game,Warcraft,Blizzard
1646,,,,,Game,Warcraft II,Blizzard
1647,,,,,Audio,Winamp,AOL
1648,,,,,Operating system,Windows 10,Microsoft
1649,,,,,Operating system,Windows 2000,Microsoft
1650,,,,,Operating system,Windows 3.X,Microsoft
1651,,,,,Operating system,Windows 7,Microsoft
1652,,,,,Operating system,Windows 8,Microsoft
1653,,,,,Operating system,Windows 95,Microsoft
1654,,,,,Operating system,Windows 98,Microsoft
1655,,,,,Operating system,Windows ME,Microsoft
1656,,,,,Program,Windows Media Player,Microsoft
1657,,,,,Game,Windows Minesweeper,Microsoft
1658,,,,,Program,Windows Movie Maker,Microsoft
1659,,,,,Operating system,Windows NT,Microsoft
1660,,,,,Game,Windows Solitaire,Microsoft
1661,,,,,Operating system,Windows Vista,Microsoft
1662,,,,,Operating system,Windows XP,Microsoft
1663,,,,,Program,WireGuard,
1664,,,,,Game,Wolf 3-D,Id Software
1665,,,,,Program,Word,Microsoft
1666,,,,,Program,WordStar,
1667,,,,,Game,Worms,Team 17
1668,,,,,Game,Worms 2,Team 17
1669,,,,,Game,Worms Armageddon,Team 17
1670,,,,,Type,Software - X,Contact
1671,,,,,Game,Xargon,Epic
1672,,,,,Game,Xwing vs. Tie Fighter,Lucas Arts
1673,,,,,Type,Software - Y,Contact
1674,,,,,None currently listed.,None currently listed.,None currently listed.
1675,,,,,Type,Software - Z,Contact
1676,,,,,Program,Zimbra,"Zimbra, Inc."
1677,,,,,Game,Zork Grand Inquisitor,Activision
1678,,,,,Game,Zork nemesis,Activision
1679,,,An R package for tree visualization and annotation with grammar of graphics supported,ggtree,,,
1680,,,"open-source javascript library for rendering highly-extensible, customizable phylogenetic trees; used for Elsevier's interactive trees",jsPhyloSVG,,,
1681,,,"interactive phylogenetic tree visualization with numerical annotation graphs, with SVG or PNG output, implemented in D3.js",PhyD3,,,
1682,,,"phylotree.js is a library that extends the popular data visualization framework D3.js, and is suitable for building JavaScript applications where users can view and interact with phylogenetic trees",phylotree.js,,,
1683,,,"PhyloPlots.jl is a julia package for plotting phylogenetic trees and networks, integrated with PhyloNetworks.jl",PhyloPlots.jl,,,
1684,,,Phylogenetic Tools for Comparative Biology (and Other Things) based in R,Phytools,,,
1685,,,Toytree: A minimalist tree visualization and manipulation library for Python,toytree,,,
1686,,,Personal finance software for Mac OS.,Banktivity,,,
1687,,,,Mint,,,
1688,,,,Moneydance,,,
1689,,,,Moneyspire,,,
1690,,,,MoneyWiz,,,
1691,,,"Offers financial advising for a fee, which establishes a client-fiduciary relationship that they claim makes them less incentivized to sell private client data as they are bound by law to act in their client's best interests.[15]",Personal Capital,,,
1692,,,,Quicken,,,
1693,,,Differentiates itself by providing budgeting advice.,You Need a Budget,,,
1694,Proprietary,,,,,,
1695,Proprietary,,,,,,
1696,Free and open-source,,,,,,
1697,Proprietary,,,,,,
1698,BSD,,,,,,
1699,Proprietary,,,,,,
1700,Proprietary,,,,,,
1701,Proprietary,,,,,,
1702,Proprietary,,,,,,
1703,Proprietary,,,,,,
1704,Proprietary,,,,,,
1705,GPLv2,,,,,,
1706,GPLv2,,,,,,
1707,Proprietary,,,,,,
1708,Proprietary,,,,,,
1709,Proprietary,,,,,,
1710,Proprietary,,,,,,
1711,Proprietary,,,,,,
1712,Proprietary,,,,,,
1713,Proprietary,,,,,,
1714,Freeware,,,,,,
1715,Freeware,,,,,,
1716,Proprietary,,,,,,
1717,Apache,,,,,,
1718,Proprietary,,,,,,
1719,Proprietary,,,,,,
1720,Proprietary,,,,,,
1721,Proprietary,,,,,,
1722,GPL and LGPL,,,,,,
1723,AGPLv3,,,,,,
1724,Freeware,,,,,,
1725,Free and open-source,,,,,,
1726,Proprietary,,,,,,
1727,Proprietary,,,,,,
1728,Proprietary,,,,,,
1729,MIT,,,,,,
1730,Proprietary,,,,,,
1731,LGPL,,,,,,
1732,open source,,,NEC,,,
1733,commercial,,,Momentum,,,
1734,commercial,,,HFSS,,,
1735,commercial,,,XFdtd,,,
1736,commercial,,,AWR Axiem,,,
1737,commercial,,,AWR Analyst,,,
1738,commercial,,,JCMsuite,,,
1739,commercial,,,COMSOL Multiphysics,,,
1740,commercial,,,FEKO,,,
1741,open source (GPL),,,Elmer FEM,,,
1742,Boost,,,,,,
1743,BSD,,,,,,
1744,MIT,,,,,,
1745,MIT,,,,,,
1746,GPL,,,,,,
1747,LGPL,,,,,,
1748,GPL,,,,,,
1749,BSD-type,,,,,,
1750,Freeware,,,,,,
1751,LGPL,,,,,,
1752,Freeware,,,,,,
1753,Freeware,,,,,,
1754,LGPL,,,,,,
1755,Boost,,,,,,
1756,Public Domain or WTFPL (dual-licensed),,,,,,
1757,LGPL,,,,,,
1758,Apache License v2,,,,,,
1759,MIT License,,,,,,
1760,Apache License v2 and GPL,,,,,,
1761,BSD-type,,,,,,
1762,LGPL,,,,,,
1763,LGPL,,,,,,
1764,LGPL,,,,,,
1765,Zlib,,,,,,
1766,MPL,,,,,,
1767,BSD-type,,,,,,
1768,GPL,,,,,,
1769,Apache License v2,,,,,,
1770,Apache License v2,,,,,,
1771,Public Domain,,,,,,
1772,MIT,,,,,,
1773,MIT,,,,,,
1774,BSD (2-clause),,,,,,
1775,BSD (3-clause),,,,,,
1776,MIT,,,,,,
1777,ISC,,,,,,
1778,BSD (3-clause),,,,,,
1779,BSD,,,,,,
1780,MIT License,,,,,,
1781,Freeware,,,,,,
1782,BSD (2-clause),,,,,,
1783,"Free, GPL 3",,,Alan,,,
1784,"Free, GPL",,,Ale (emacs plugin),,,
1785,"Free, GPL 3",,,AliView 2021,,,
1786,"Free, GPL 3",,,alv,,,
1787,"Proprietary, freeware, arb license, open modifiable source",,,arb,,,
1788,"Proprietary, freeware, must register",,,Base-By-Base,,,
1789,"Proprietary, freeware",,,BioEdit,,,
1790,"Proprietary, commercial",,,BioNumerics,,,
1791,"Free, GPL 3",,,bioSyntax,,,
1792,"Free, public domain",,,BoxShade,,,
1793,"Proprietary, freeware",,,CINEMA,,,
1794,"Proprietary, freeware. More options available in commercial versions.",,,CLC viewer (free version),,,
1795,"Proprietary, freeware for academic use",,,ClustalX viewer,,,
1796,"Free, CDDL 1. Available for dual licensing.",,,Cylindrical Alignment App,,,
1797,"Free, GPL",,,Cylindrical BLAST Viewer,,,
1798,"Free, GPL",,,DECIPHER,,,
1799,"Proprietary, commercial, Viewer is Freeware",,,Discovery Studio,,,
1800,"Proprietary, commercial, freeware for noncomercial use",,,DnaSP,,,
1801,"Proprietary, commercial, academic licenses available",,,DNASTAR Lasergene Molecular Biology Suite,,,
1802,"Free, GPL",,,emacs - biomode,,,
1803,"Proprietary, commercial, freeware for noncommercial use",,,FLAK,,,
1804,"Proprietary, freeware",,,Genedoc,,,
1805,"Proprietary, commercial; personal, floating",,,Geneious,,,
1806,"Free, CPL",,,Integrated Genome Browser (IGB),,,
1807,"Proprietary, free use",,,interactive Tree Of Life (iTOL),,,
1808,"Proprietary, freeware",,,IVisTMSA,,,
1809,"Free, GPL",,,Jalview,,,
1810,"Proprietary, commercial, freeware for academic use",,,Jevtrace,,,
1811,"Free, GPL 2",,,JSAV,,,
1812,"Proprietary, commercial, freeware for academic use",,,Lucid Align,,,
1813,"Proprietary, freeware for academic use",,,Maestro,,,
1814,"Proprietary, freeware, must register",,,MEGA,,,
1815,Proprietary,,,Molecular Operating Environment (MOE),,,
1816,"Free, Creative Commons Attribution NonCommercial Share-alike",,,MSAReveal.org,,,
1817,"Proprietary, freeware, but VMD is free for noncommercial use only",,,Multiseq (VMD plugin),,,
1818,"Free, GPL",,,MView,,,
1819,"Proprietary, freeware",,,PFAAT,,,
1820,"Free, GPL",,,Ralee (emacs plugin for RNA al. editing),,,
1821,"Proprietary, freeware",,,S2S RNA editor,,,
1822,"Proprietary, freeware",,,Seaview,,,
1823,"Free, GPL",,,Seqotron,,,
1824,"Proprietary, freeware",,,Sequilab,,,
1825,"Proprietary, freeware",,,SeqPup,,,
1826,"Proprietary, freeware",,,Sequlator,,,
1827,"Free, Apache 2.0",,,SnipViz,,,
1828,"Free, GPL",,,Strap,,,
1829,"Free, BSD 2-clause",,,Tablet,,,
1830,"Free, GPL",,,UGENE,,,
1831,"Proprietary, freeware",,,VISSA sequence-structure viewer,,,
1832,"Free, GPL 3",,,DNApy,,,
1833,"Free, GPL",,,Alignment Annotator,,,
1834,,,,Adobe Analytics,,,
1835,,,,Bing Webmaster Tools,,,
1836,,,,Analytics Suite,,,
1837,,,,Bango Mobile Web Analytics,,,
1838,,,,Data Workbench,,,
1839,,,,Google Analytics,,,
1840,,,,CleverTap,,,
1841,,,,Fathom,,,
1842,,,,LiveChat,,,
1843,,,,Mapmyuser.com,,,
1844,,,,Mixpanel,,,
1845,,,,Quantcast,,,
1846,,,,Similarweb,,,
1847,,,,StatCounter,,,
1848,,,,Webtrekk Q3,,,
1849,,,,Webtrends,,,
1850,,,,Woopra,,,
1851,,,,Yahoo! Web Analytics,,,
1852,,,,Yandex.Metrica,,,
1853,,3D Topicscape,,,,,
1854,,ConceptDraw MINDMAP,,,,,
1855,,Creately,,,,,
1856,,Debategraph,,,,,
1857,,Edraw Max,,,,,
1858,,LucidChart,,,,,
1859,,Microsoft Visio,,,,,
1860,,Mind42,,,,,
1861,,MindManager,,,,,
1862,,MindMapper,,,,,
1863,,MindMeister,,,,,
1864,,Mindomo,,,,,
1865,,MindView,,,,,
1866,,OmniGraffle,,,,,
1867,,Prezi,,,,,
1868,,Qiqqa,,,,,
1869,,Semantica,,,,,
1870,,SmartDraw,,,,,
1871,,SpicyNodes,,,,,
1872,,Tinderbox,,,,,
1873,,TheBrain,,,,,
1874,,Visual Mind,,,,,
1875,,XMind Pro,,,,,
1876,,,,,,,
1877,,,,,,,
1878,,,,,,,
1879,,,,,,,
1880,,,,,,,
1881,,,,,,,
1882,,,,,,,
1883,,,,,,,
1884,,,,,,,
1885,,,,,,,
1886,,,,,,,
1887,,,,,,,
1888,,,,,,,
1889,,,,,,,
1890,,,,,,,
1891,,,,,,,
1892,,,,,,,
1893,,,,,,,
1894,,,,,,,
1895,,,,,,,
1896,,,,,,,
1897,,,,,,,
1898,,,,,,,
1899,,,,,,,
1900,,,,,,,
1901,,,,,,,
1902,,,Automatically visualizing RNA pseudoknot structures as planar graphs.,PseudoViewer,,,
1903,,,browse sequential paths through RNA secondary structure landscapes,RNA Movies,,,
1904,,,"RNA-DV aims at providing an easy-to-use GUI for visualizing and designing RNA secondary structures. It allows users to interact directly with the RNA structure and perform operations such as changing primary sequence content and connect/disconnect nucleotide bonds. It also integrates thermodynamic energy calculations including four major energy models. RNA-DV recognizes three input formats including CT, RNAML and dot bracket (dp).",RNA-DV,,,
1905,,,"Program to generate, view, and compare 3-dimensional models of RNA",RNA2D3D,,,
1906,,,RNAstructure has a viewer for structures in ct files. It can also compare predicted structures using the circleplot program. Structures can be output as postscript files.,RNAstructure,,,
1907,,,Use RNAView to automatically identify and classify the types of base pairs that are formed in nucleic acid structures. Use RnamlView to arrange RNA structures.,RNAView/RnamlView,,,
1908,,,Visualizes the intra-/intermolecular base pairing of two interacting RNAs with sequence logos in a planar graph.,RILogo,,,
1909,,,"A tool for the automated drawing, visualization and annotation of the secondary structure of RNA, initially designed as a companion software for web servers and databases",VARNA,,,
1910,,,"A web based viewer for displaying RNA secondary structures using the force-directed graph layout provided by the d3.js visualization library. It is based on fornac, a javascript container for simply drawing a secondary structure on a web page.",forna,,,
1911,,,Program for drawing aesthetic RNA consensus diagrams with automated pair covariance recognition. Rfam uses this program both for drawing the human-annotated SS and the R-scape covariance-optimized structure.,R2R,,,
1912,License,Software,,,,,
1913,Proprietary,3Delight,,,,,
1914,Proprietary,Amiga Reflections,,,,,
1915,Proprietary,Autodesk 3ds max,,,,,
1916,Proprietary,Autodesk Maya,,,,,
1917,Proprietary,Autodesk Softimage,,,,,
1918,Freeware,Anim8or,,,,,
1919,Proprietary,ASAP,,,,,
1920,GPL,Blender,,,,,
1921,Proprietary,Brazil r/s,,,,,
1922,"BSD, LGPL",BRL-CAD,,,,,
1923,Proprietary,Bryce,,,,,
1924,Proprietary,Carrara,,,,,
1925,Proprietary,Cheetah3D,,,,,
1926,Proprietary,Cinema 4D,,,,,
1927,Proprietary,ExH reTORT exhsw.com/retort-ray-tracer/,,,,,
1928,Proprietary,form•Z RenderZone Plus,,,,,
1929,Proprietary,FRED,,,,,
1930,Proprietary,FurryBall,,,,,
1931,Freeware,Gelato,,,,,
1932,Proprietary,Holomatix Rendition,,,,,
1933,Proprietary,Houdini,,,,,
1934,Proprietary,Imagine 3D,,,,,
1935,Proprietary,Indigo Renderer,,,,,
1936,Freeware,Kerkythea,,,,,
1937,Proprietary,LightWave 3D,,,,,
1938,GPLv3,LuxCoreRender,,,,,
1939,MIT,Manta Interactive Ray Tracer,,,,,
1940,Proprietary,Maxwell Render,,,,,
1941,GPL,McXtrace,,,,,
1942,Proprietary,Mental ray,,,,,
1943,Proprietary,MODO,,,,,
1944,Proprietary,Octane Render,,,,,
1945,Proprietary,OptiX,,,,,
1946,Proprietary,Photopia Optical Design Software,,,,,
1947,GPLv3,Picogen,,,,,
1948,Proprietary,Pixar RenderMan,,,,,
1949,GPL,Pixie,,,,,
1950,AGPLv3,POV-Ray,,,,,
1951,"pre-gpl open source, gpl-like",Rayshade,,,,,
1952,BSD,Radiance,,,,,
1953,Proprietary,Realsoft 3D,,,,,
1954,Proprietary,Shade,,,,,
1955,MIT,Sunflow,,,,,
1956,GPL,Tachyon,,,,,
1957,Proprietary,Terragen,,,,,
1958,Proprietary,TracePro,,,,,
1959,Proprietary,TurboSilver,,,,,
1960,Proprietary,V-Ray,,,,,
1961,MIT,Visionaray[1],,,,,
1962,Proprietary,Vue,,,,,
1963,LGPL,YafaRay,,,,,
1964,Proprietary,Zemax,,,,,
1965,Free,3DOptix,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,,,,,,,
1970,,,,,,,
1971,,,,,,,
1972,,,,,,,
1973,,,,,,,
1974,,,,Name,,,
1975,,,,ACL2,,,
1976,,,,Agda,,,
1977,,,,Albatross,,,
1978,,,,Coq,,,
1979,,,,F*,,,
1980,,,,HOL Light,,,
1981,,,,HOL4,,,
1982,,,,Idris,,,
1983,,,,Isabelle,,,
1984,,,,Lean,,,
1985,,,,LEGO (not affiliated with Lego),,,
1986,,,,Mizar,,,
1987,,,,NuPRL,,,
1988,,,,PVS,,,
1989,,,,Twelf,,,
1990,,,,,,,
1991,,,,,,,
1992,,,,,,,
1993,,,,,,,
1994,,,,,,,
1995,,,,,,,
1996,,,,,,,
1997,,,,,,,
1998,,,,,,,
1999,,,,,,,
2000,,,,,,,
2001,,,,,,,
2002,,,,,,,
2003,,,,,,,
2004,,,,,,,
2005,,,,,,,
2006,,,,,,,
2007,,,,,,,
2008,,,,,,,
2009,,,,,,,
2010,,,,,,,
2011,,,,,,,
2012,,,,,,,
2013,,,,,,,
2014,,,,,,,
2015,,,,,,,
2016,,,,,,,
2017,,,,,,,
2018,,,,,,,
2019,,,,,,,
2020,,,,,,,
2021,,,,,,,
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
2025,,,,,,,
2026,,,,,,,
2027,,,,,,,
2028,,,,,,,
2029,SCEJ,,,,,,
2030,SCEK,,,,,,
2031,SCEAsia,,,,,,
2032,SCEA,,,,,,
2033,SCEE,,,,,,
2034,,,,Unnamed: 0_level_1,,,
2035,,,,BLAST,,,
2036,,,,CADP,,,
2037,,,,CPAchecker,,,
2038,,,,DREAM,,,
2039,,,,Java Pathfinder,,,
2040,,,,LTSmin,,,
2041,,,,mCRL2,,,
2042,,,,MRMC,,,
2043,,,,NuSMV,,,
2044,,,,PAT,,,
2045,,,,PRISM,,,
2046,,,,SPIN,,,
2047,,,,TAPAAL,,,
2048,,,,TAPAs,,,
2049,,,,UPPAAL,,,
2050,,,,ROMEO,,,
2051,,,,TLA+ Model Checker (TLC),,,
2052,,,Software for FEM structural analysis,ABAQUS,,,
2053,,,BIM Software for FEM structural analysis,Advance Design,,,
2054,,,BIM & 3D modeling software applied for civil & structural engineering,ArchiCAD,,,
2055,,,Simulation and multiphysics applied for structural engineering,COMSOL Multiphysics,,,
2056,,,Advanced non-linear structural analysis software,Extreme Loading for Structures,,,
2057,,,Simulation and multiphysics applied for structural engineering,FEATool Multiphysics,,,
2058,,,FEM software program providing advanced analysis and scripting solutions for structural engineering,FEMtools,,,
2059,,,An open-source Swiss Army knife of general-purpose engineering toolkits,FreeCAD,,,
2060,,,BIM & 3D modeling software applied for civil & structural engineering,MicroStation,,,
2061,,,"FEM software for bridge structural modeling, analysis and design",Midas Civil,,,
2062,,,Earthquake engineering software,OpenSees,,,
2063,,,General 3D analysis and design software,Realsoft 3D,,,
2064,,,BIM & 3D modeling software applied for civil & structural engineering,Revit,,,
2065,,,3D structural analysis & design software,RFEM,,,
2066,,,Structural verification and code-checking according to different industrial standards,SDC Verifier,,,
2067,,,"Multiphysics simulation (CFD, FEA, Thermal Analysis) applied for structural and civil engineering",SimScale,,,
2068,,,BIM & 3D modeling software applied for civil & structural engineering,SketchUp,,,
2069,,,BIM & 3D structural analysis & design software for structural engineers,STAAD,,,
2070,,,BIM & 3D modeling software for civil & structural engineers,Tekla Structures,,,
2071,,,Reinforced concrete slab analysis and design & BIM structural static and dynamic analysis,PLPAK,,,
2072,,,,,,,
2073,,,,,,,
2074,,,,,,,
2075,,,,,,,
2076,,,,,,,
2077,,,,,,,
2078,,,,,,,
2079,,,,,,,
2080,,,,,,,
2081,,,,,,,
2082,,,,,,,
2083,,,,,,,
2084,,,,,,,
2085,,,,,,,
2086,,,,,,,
2087,,,,,,,
2088,,,,,,,
2089,,,,,,,
2090,,,,,,,
2091,,,,,,,
2092,,,,,,,
2093,,,,,,,
2094,,,,,,,
2095,,,,,,,
2096,,,,,,,
2097,GNU GPL,,,,,,
2098,Apache License 2.0,,,,,,
2099,Discontinued,,,,,,
2100,Trialware,,,,,,
2101,Apache License 2.0,,,,,,
2102,New BSD License,,,,,,
2103,Apache License 2.0,,,,,,
2104,Eclipse Public License,,,,,,
2105,MIT License,,,,,,
2106,New BSD License,,,,,,
2107,New BSD License,,,,,,
2108,Apache License 2.0,,,,,,
2109,BSD-style license,,,,,,
2110,MIT License,,,,,,
2111,Trialware,,,,,,
2112,Apache License 2.0,,,,,,
2113,MIT License,,,,,,
2114,Simplified BSD License,,,,,,
2115,Eclipse Public License,,,,,,
2116,Same as the bundling OS,,,,,,
2117,Apache License 2.0,,,,,,
2118,Apache License 2.0,,,,,,
2119,MIT License,,,,,,
2120,Freeware,,,,,,
2121,MIT License,,,,,,
2122,GNU GPL,,,,,,
2123,Freeware,,,,,,
2124,GNU GPL,,,,,,
2125,Discontinued,,,,,,
2126,MIT License,,,,,,
2127,New BSD License,,,,,,
2128,MIT License,,,,,,
2129,Trialware,,,,,,
2130,GNU GPLv3,,,,,,
2131,Trialware,,,,,,
2132,New BSD License,,,,,,
2133,,,,,,,
2134,,,,,,,
2135,,,,,,,
2136,,,,,,,
2137,,,,,,,
2138,,,,,,,
2139,,,,,,,
2140,,,,,,,
2141,,,,,,,
2142,Open Source (AGPL),,,Aerospike DBS,,,
2143,"Open source(GNU-AGPLv3, GNU-LGPLv3(for client-libraries))",,,ALTIBASE HDB,,,
2144,"Open source(GNU-AGPLv3, GNU-LGPLv3(for client-libraries))",,,ALTIBASE XDB,,,
2145,Open Source (Apache License Version 2.0),,,Apache Ignite,,,
2146,Open Source (Apache License Version 2.0),,,ArangoDB,,,
2147,Proprietary,,,Datablitz (formerly Dali),,,
2148,Open source (Apache License),,,Ehcache,,,
2149,Proprietary,,,eXtremeDB,,,
2150,"Open Source (Apache License 2.0), Commercial license available",,,GigaSpaces,,,
2151,Open Source (Mozilla Public License or Eclipse Public License),,,H2 (DBMS),,,
2152,Open Source (BSD License),,,HSQLDB,,,
2153,Open Source (Apache License 2.0),,,Hazelcast,,,
2154,Proprietary,,,Informix Warehouse Accelerator,,,
2155,Proprietary,,,InfinityDB,,,
2156,Open Source,,,KiaraDB,,,
2157,Proprietary,,,Kinetica,,,
2158,Open Source (BSD),,,Memcached,,,
2159,Open Source and Proprietary both,,,NCache,,,
2160,Proprietary,,,SingleStore (formerly MemSQL),,,
2161,Open Source (Public domain),,,SQLite,,,
2162,Proprietary,,,Microsoft COM+ IMDB,,,
2163,Proprietary,,,Microsoft SQL Server,,,
2164,Open Source Erlang License,,,Mnesia,,,
2165,"Open Source (MonetDB License, based on MPL 2.0 (as of version Jul2015, released on Friday, August 28, 2015). Older versions are based on MPL 1.1)",,,MonetDB,,,
2166,Dual_license open source(GNU-GPLv2) and optional proprietary,,,MySQL NDB Cluster,,,
2167,Open Source (Apache License 2.0),,,OmniSci,,,
2168,Proprietary,,,Oracle RDBMS,,,
2169,Proprietary with developer download,,,Oracle Coherence,,,
2170,[Dual_license] open source(GNU-GPLv3) and optional proprietary,,,Perst,,,
2171,"Proprietary, with a free-to-use edition (Polyhedra Lite)",,,Polyhedra,,,
2172,Proprietary,,,Raima,,,
2173,Open Source (BSD),,,Redis,,,
2174,Proprietary,,,SafePeak,,,
2175,Proprietary,,,SAP HANA,,,
2176,Proprietary,,,solidDB,,,
2177,Free,,,SQL CE,,,
2178,Open Source (BSD),,,Tarantool,,,
2179,Open Source (Apache 2.0),,,TerminusDB,,,
2180,Proprietary,,,TimesTen,,,
2181,Marketed,,,TPF (Transaction Processing Facility),,,
2182,Proprietary,,,Starcounter,,,
2183,Open Source (GPL) / Proprietary,,,VoltDB,,,
2184,"Proprietary / Not for sale, service only",,,Xeround,,,
2185,Proprietary,,,,,,
2186,Apache 2.0,,,,,,
2187,Proprietary,,,,,,
2188,Apache 2.0,,,,,,
2189,Proprietary,,,,,,
2190,GPL 2.0,,,,,,
2191,Apache 2.0,,,,,,
2192,CDDL,,,,,,
2193,Proprietary,,,,,,
2194,LGPL,,,,,,
2195,LGPL,,,,,,
2196,Proprietary,,,,,,
2197,GPL and Proprietary,,,,,,
2198,Proprietary,,,,,,
2199,,,,Bookmarklets,,,
2200,,,,Firebug,,,
2201,,,,Grammarly,,,
2202,,,,Greasekit,,,
2203,,,,Violentmonkey,,,
2204,,,,Greasemonkey,,,
2205,,,,Tampermonkey,,,
2206,,,,iMacros,,,
2207,,,,Proxomitron,,,
2208,,,,Stylish,,,
2209,,,,,,,
2210,,,,,,,
2211,,,,,,,
2212,,,,,,,
2213,,,,,,,
2214,,,,,,,
2215,,,,,,,
